Case Name,Tier,Qty,Cost/Unit (AUD),Total Cost (AUD),Current Price (AUD),Total Value (AUD),Profit/Loss (AUD),ROI %,Age (Years),Steam Market Link
"CS:GO Weapon Case",1,19,1.50,28.50,318.03,6042.57,6014.07,21102.0%,12,https://steamcommunity.com/market/listings/730/CS%3AGO%20Weapon%20Case
"eSports 2013 Case",1,19,2.00,38.00,119.85,2277.15,2239.15,5892.5%,12,https://steamcommunity.com/market/listings/730/eSports%202013%20Case
"Operation Breakout Case",1,19,13.35,253.65,13.35,253.65,0.00,0.0%,12,https://steamcommunity.com/market/listings/730/Operation%20Breakout%20Case
"Chroma Case",2,19,0.50,9.50,9.85,187.15,177.65,1870.0%,11,https://steamcommunity.com/market/listings/730/Chroma%20Case
"Falchion Case",2,19,0.50,9.50,3.53,67.07,57.57,606.0%,11,https://steamcommunity.com/market/listings/730/Falchion%20Case
"Shadow Case",2,19,0.30,5.70,3.45,65.55,59.85,1050.0%,10,https://steamcommunity.com/market/listings/730/Shadow%20Case
"Gamma Case",3,19,0.30,5.70,7.27,138.13,132.43,2323.3%,9,https://steamcommunity.com/market/listings/730/Gamma%20Case
"Glove Case",3,19,0.25,4.75,29.95,569.05,564.30,11880.0%,9,https://steamcommunity.com/market/listings/730/Glove%20Case
"Horizon Case",3,19,0.20,3.80,3.23,61.37,57.57,1515.0%,8,https://steamcommunity.com/market/listings/730/Horizon%20Case
"Prisma Case",4,19,0.20,3.80,2.73,51.87,48.07,1265.0%,7,https://steamcommunity.com/market/listings/730/Prisma%20Case
"Shattered Web Case",4,19,0.15,2.85,12.28,233.32,230.47,8086.7%,6,https://steamcommunity.com/market/listings/730/Shattered%20Web%20Case
"Broken Fang Case",4,19,0.12,2.28,0.12,2.28,0.00,0.0%,5,https://steamcommunity.com/market/listings/730/Broken%20Fang%20Case
"Dreams & Nightmares Case",5,19,0.08,1.52,2.64,50.16,48.64,3200.0%,2,https://steamcommunity.com/market/listings/730/Dreams%20%26%20Nightmares%20Case
"Fracture Case",5,19,0.08,1.52,1.10,20.90,19.38,1275.0%,2,https://steamcommunity.com/market/listings/730/Fracture%20Case
"Ancient Case",5,19,0.08,1.52,0.08,1.52,0.00,0.0%,2,https://steamcommunity.com/market/listings/730/Ancient%20Case

"TOTAL PORTFOLIO",,285,,372.59,,10021.74,9649.15,2589.8%,
